"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","МАСЛИНИ ГРЪЦКИ ","4803","62","5.11","0"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","МАСЛИНИ КАЛАМОН","4804","62","6.03","0"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","МАСЛИНИ ЛЕНЗОВИ НАТУРАЛНИ","4805","62","5.91","0"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","ГРИЛОВАНА МАСЛИНА","4832","62","10.63","0"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","КАМЕНИЦА СВЕТЛО 2л","5128","74","1.68","0"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","АСТИКА 2л","5135","74","1.12","0"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","ПИРИНСКО 2л","5166","74","1.79","0"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","БУРГАСКО СВЕТЛО 2.3л","5183","74","1.79","0"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","ШУМЕНСКО 2л","5193","74","1.66","0"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","ЗАГОРКА 2л","5195","74","1.61","0"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","ВОДА ИЗВОРНА ДЕВИН 1.5л","5409","73","0.59","0"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","ВОДА МИНЕР.ГОРНА БАНЯ 1.5л","5443","73","0.59","0"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","ВОДА ИЗВОРНА МИХАЛКОВО  1.5л","5452","73","0.56","0"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","ВОДА ВЕЛИНГРАД 1.5л","5463","73","0.59","0"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","ВОДА ТРАПЕЗНА ЗЕОЛИТНА 1.5л","5471","73","0.56","0"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","РОЗЕ  0,750","5615","76","7.98","0"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","АЛЕКСАНДРИЙСКИ МИСКЕТ 0,750","5616","76","7.98","0"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","МЕРЛО  0,750","5617","76","7.98","0"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","КАБЕРНЕ ФРАН 0,750","5618","76","7.16","0"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","РУБИН 0,750","5619","76","9.31","0"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","СИРА 0,750","5620","76","7.98","0"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","МАВРУД 0,750","5621","76","9.31","0"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","МУСКАТ ОТОНЕЛ","5622","76","7.98","0"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","СОВИНЬОН БЛАН","5623","76","7.16","0"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","СКУМРИЯ 4/6","6025","29","7.28","0"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","СИРЕНЕ КРАВЕ С ТРЮФЕЛ 200г","45100","9","6.39","0"
"06447","НОВОМЕС2 с.Брестник Османова могила Асеновградско шосе","СИРЕНЕ КРАВЕ САКАРЕЛА 400г","45105","9","5.57","0"
