"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","ВИНО ПЕНТАГРАМ ПИНО НОАР 0.75","006610","76","6.35","5.35"
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","ВИНО МЕНАДА ЧЕРГА ЧЕРВЕНО 0.75","006619","76","6.85","5.11"
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","С-М КАМЧИЯ НАРОДЕН 300ГР","006806","27","1.78",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","С-М ТЕЛЕШКИ НАРОДЕН 300ГР","006807","27","1.78",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","КРОАСАН 7 ДЕЙС МАКС КАКАО 92Г *20","006841","67","0.82","0.71"
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","Б-ТИ ДЕТСТВО МОЕ 130Г ОБИКНОВЕНИ","006864","66","0.63",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","Б-ТИ ДЕТСТВО МОЕ 200Г ОБИКНОВЕНИ","006865","66","0.92","0.79"
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","ЕЛЕНА КИСЕЛО МЛЯКО 2%","006869","7","0.74",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","П/З ПАРАДОНТАКС 75МЛ КЛАСИК","006891","81","5.82",""
"10447","КЛАСИКО ПИШМАНА - ЕМИЛИЯН СТАНЕВ 9","П/З СЕНЗОДИН 75МЛ ВЪЗСТАНОВЯВАНЕ И ЗАЩИТА ИЗБЕЛВАЩА","006897","81","8.23","5.82"
