"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","ИНХУА ЧАЙ ЗА ОТСЛАБВАНЕ Х 32","17085","72","5.52","5.52"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","Ибупром Синус, таблетки х 12, USP **","17096","94","4.49","4.49"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","Eucerin PH5 Сапун за чувствителна кожа 100г.","18352","83","4.09","4.09"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","Klorane шампоан с екстракт от седра 400мл.","18413","82","17.23","17.23"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","Klorane Шампоан с манго 400мл.","18635","82","18.35","18.35"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","НУРОФЕН ЗА ДЕЦА ЯГОДА 100МГ/5МЛ 100МЛ","18654","94","4.6","4.6"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","Oral-B 3-Effect Classic Четка за зъби","19243","80","1.32","1.32"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","Elgydium Junior Детска четка за зъби т 7 до 12 години","19278","80","5.11","5.11"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","ДИАРОСТАД КАПС 2МГ Х 10 **","19629","89","3.73","3.73"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","ФРИЗО | FRISO 1 400Г 0-6 М (ФРИЗОЛАК)","20379","65","9.71","9.71"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","ХЕКСАЛГИН СОЛ 20МЛ **","20420","96","5.57","5.57"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","СЕБОРАЛ ШАМПОАН 250МЛ","20933","82","3.27","3.27"
"68134","АПТЕКА МЕДЕЯ СТАМБОЛИЙСКИ - гр.София, жк.Разсадника, бул.Стамболийски 233","ЧАЙ ЦЯР КАШЛИЦА И БРОНХИТ Х 30","21544","72","3.37","3.37"
