"Населено място","Търговски обект","Наименование на продукта","Код на продукта","Категория","Цена на дребно","Цена в промоция"
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",СПАГЕТИ ДЕРОНИ 400ГР N10","010870","37","1.07",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",ГРАХ БОНДУЕЛЕ 400ГР/425МЛ****","011055","47","2.55",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",ГРАХ ЛЕДА 400ГР ЗЕЛЕН","011206","47","1.53",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",МАСЛИНОВО МАСЛО САН ЛАЗАРО 1Л ЕКСТРА ВЪРДЖИН","011712","43","14.31",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",ДОМАТИ РУСО 400ГР МК БЕЛЕНИ","011823","48","1.32",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",ХЛЯБ ДЕМЕА 500ГР СЕЛСКИ СЪС ЗАКВАСКА","012660","1","1.12","0.97"
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",МАСЛО ВЕРЕЯ 125ГР","013131","12","2.65",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",МАСЛО ВЕРЕЯ 250ГР","013170","12","4.95",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",ПР МЛЯКО ВЕРЕЯ 1Л 3.0%","013177","6","1.78","1.53"
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",МАСЛО ПРЕЗИДЕНТ 125ГР","013273","12","4.03",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",КИС МЛЯКО ВЕРЕЯ 400ГР 2.9%","013278","7","0.86",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",МАСЛО ПРЕЗИДЕНТ 250ГР","013322","12","7.66",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",КИС МЛЯКО БОЖЕНЦИ 400ГР 2.2%***","013875","7","0.92",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",МАСЛО КИСЕЛОВО 125ГР 82%****","013988","12","2.14",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",РАКИЯ БУРГАСКА 700МЛ МУСКАТОВА /40/","014040","77","11.10",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",РАКИЯ ТРОЯНСКА 700МЛ СЛИВОВА ОБИКНОВЕНА /143/","014041","77","9.71",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",,РАКИЯ ПЕЩЕРСКА 700МЛ ГРОЗДОВА /902/","014050","77","8.02","7.31"
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",,РАКИЯ КАРНОБАТ 700МЛ /2009/-/1/","014087","77","7.82","7.15"
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",,РАКИЯ КАРНОБАТ 700МЛ МУСКАТОВА /1783/","014089","77","9.15","8.58"
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",,РАКИЯ КАЙЛЪШКА 700МЛ ГРОЗДОВА /796/","014166","77","8.71",""
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",,БИРА АРИАНА 2Л СВЕТЛО /2018/","015039","74","1.78","1.43"
"10135","Май Маркет Шишкова градина Мини - ул. Михаил Колони №17",",,БИРА БОЛЯРКА 2Л СВЕТЛО /1816/","015062","74","1.43","1.17"
